date,station,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2008/1/1,ChungLi,AMB_TEMP,10.78,10.94,10.91,10.85,10.8,10.69,10.48,10.44,10.86,11.39,12.19,12.93,11.96,11.69,11.56,11.37,10.96,10.49,10.14,9.99,10.09,10.03,9.87,9.88
2008/1/1,ChungLi,CH4,2.017,1.982,1.944,1.963,1.944,1.927,1.93,1.942,1.939,1.931,1.942,1.957,1.971,1.984,1.988,1.998,1.996,1.981,1.977,1.98,1.976,1.992,1.984,1.973
2008/1/1,ChungLi,CO,0.72,0.68,0.6,0.54,0.49,0.43,0.4,0.44,0.49,0.5,0.52,0.55,0.6,0.64,0.69,0.71,0.72,0.76,0.78,0.77,0.78,0.76,0.74,0.62
2008/1/1,ChungLi,NMHC,0.249,0.191,0.142,0.141,0.117,0.103,0.112,0.135,0.151,0.151,0.17,0.193,0.186,0.196,0.205,0.213,0.229,0.273,0.277,0.296,0.267,0.283,0.245,0.173
2008/1/1,ChungLi,NO,6.17,4.04,2.35,3.16,2.63,2.12,3.48,5.62,8.04,8.09,9.34,10.77,8.81,9.88,9.37,10.65,10.25,11.23,11.03,12.16,9.18,10.44,7.4,3.16
2008/1/1,ChungLi,NO2,27.01,21.92,14.45,16.34,11.59,9.73,12.45,16.28,18.56,16.7,18.07,20.56,18.67,21.12,21.72,25.58,26.64,30.73,31.66,33.09,30.51,31.02,26.87,19.72
2008/1/1,ChungLi,NOx,33.18,25.96,16.81,19.5,14.22,11.86,15.94,21.9,26.61,24.78,27.41,31.33,27.48,31,31.09,36.24,36.89,41.96,42.69,45.24,39.69,41.47,34.27,22.88
2008/1/1,ChungLi,O3,13.1,17.7,25.9,25.4,26.1,29.6,27,23.9,22.5,26,25.9,25.7,25.6,25.5,25.7,23.8,23,19.9,16.7,15.4,16.3,15.4,14.7,20.5
2008/1/1,ChungLi,PM10,79,73,74,64,67,62,61,72,71,66,72,71,82,86,80,93,99,96,84,80,79,75,79,74
2008/1/1,ChungLi,PM2.5,37,34,28,32,28,22,24,26,31,28,30,31,27,35,47,46,48,57,44,31,44,34,20,35
2008/1/1,ChungLi,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2008/1/1,ChungLi,RH,57.6,58.08,54.08,54.8,55.61,55.59,53.96,53.42,52.32,49.77,50.06,48.91,54.38,55.11,56.39,56.39,56.72,57.01,57.1,57.43,56.85,57.89,59.65,59.38
2008/1/1,ChungLi,SHELT_TEMP,26.64,26.62,26.66,26.74,26.6,26.58,26.55,26.61,26.57,26.6,26.5,26.76,27.19,27.46,27.76,27.42,27.1,26.71,26.67,26.64,26.57,26.62,26.54,26.56
2008/1/1,ChungLi,SO2,10.9,8.9,6.5,6,5.2,6.9,10,6.8,7.7,6.9,8.3,8.2,8.5,9.7,10.1,11.3,13.1,15.5,9.2,7.8,8.2,9.9,11.3,11.2
2008/1/1,ChungLi,THC,2.266,2.173,2.086,2.104,2.061,2.031,2.042,2.077,2.089,2.081,2.111,2.15,2.158,2.181,2.194,2.211,2.225,2.253,2.254,2.276,2.243,2.276,2.229,2.146
2008/1/1,ChungLi,WD_HR,52.63,53.43,56.11,56.6,62.75,57.95,74.76,64.25,53.67,61.24,69,65.61,76.67,69.84,74.45,72.58,65.07,56.28,59.13,53.85,52.79,36.6,252.54,87.59
2008/1/1,ChungLi,WIND_DIREC,52.36,61.85,70.85,56.3,76.06,73.49,70.47,22.27,33.18,97.87,38.27,63.7,71.45,68.57,80.19,56.48,67.93,56.3,85.73,58.19,79.36,297.2,248.33,57.54
2008/1/1,ChungLi,WIND_SPEED,2.11,2.45,2.4,2.04,2.55,2.8,2.74,2.46,2.66,2.68,2.95,2.55,2.93,3.07,3.36,2.82,3.04,2.8,2.53,2.11,2.05,1.52,1.84,2.12
2008/1/1,ChungLi,WS_HR,1.09,1.2,0.95,0.69,0.76,1.3,1.09,0.76,0.83,0.84,0.98,0.59,0.85,1.2,1.25,0.94,1.35,1.27,0.92,0.61,0.4,0.18,0.16,0.16
2008/1/2,ChungLi,AMB_TEMP,9.8,9.82,9.83,9.82,9.66,9.47,9.49,9.54,10.4,11.53,12.73,13.42,13.32,13.28,13.09,12.66,12.14,11.67,11.44,11.4,11.36,11.41,11.6,11.74
2008/1/2,ChungLi,CH4,1.974,1.995,1.985,1.977,1.971,1.992,2.022,2.026,2.002,1.962,1.949,1.942,1.92,1.928,1.944,1.936,1.944,1.944,1.965,1.957,1.981,1.985,1.956,1.945
2008/1/2,ChungLi,CO,0.55,0.54,0.57,0.53,0.54,0.55,0.61,0.8,0.93,0.87,0.77,0.7,0.63,0.6,0.64,0.66,0.69,0.75,0.89,0.85,0.82,0.88,0.81,0.62
