id,lat,lon
B11,25.055288,121.6175001
B10,25.059905,121.615953
B9,25.067147,121.611445
B8,25.072701,121.607158
B7,25.083845,121.602141
B6,25.083661,121.594408
B5,25.078532,121.584761
B4,25.080028,121.575081
B3,25.082133,121.567213
B2,25.084853,121.555592
B1,25.079477,121.546895
BR1,25.063,121.551996
BR2,25.060849,121.544227
BR3,25.052319,121.544011
BR4,25.041629,121.543767
BR5,25.032943,121.543551
BR6,25.026125,121.543437
BR7,25.023777,121.553115
BR8,25.018535,121.558791
BR9,25.005475,121.557107
BR10,24.999386,121.558152
BR11,24.998585,121.568102
BR12,24.998241,121.573145
BR13,24.998197,121.579338
R33,25.167818,121.445561
R32,25.154042,121.458872
R31,25.13694,121.459479
R30,25.125633,121.467102
R29,25.130969,121.47341
R28,25.137474,121.485444
R26,25.131841,121.498633
R25,25.125491,121.501132
R24,25.120872,121.506252
R23,25.114523,121.515559
R22,25.109721,121.518848
R21,25.10306,121.522514
R20,25.093535,121.52623
R18A,25.084873,121.525078
R17,25.071353,121.520118
R16,25.062905,121.51932
R15,25.057805,121.520627
R14,25.052685,121.520392
R13,25.046255,121.517532
R12,25.041256,121.51604
R11,25.032729,121.51827
R10,25.033847,121.528739
R9,25.033396,121.534882
R8,25.032943,121.543551
R7,25.033326,121.553526
R6,25.033102,121.563292
R5,25.03283,121.569576
G22,25.049283,121.578012
G21,25.051652,121.564708
G19,25.051836,121.55153
G18,25.052319,121.544011
G17,25.052015,121.533075
G16,25.052685,121.520392
G14,25.049554,121.510184
G13,25.04209,121.508303
G12,25.035547,121.510857
G11,25.032729,121.51827
G10,25.026357,121.522873
G9,25.020725,121.528168
G7,25.014908,121.534216
G6,25.001853,121.539051
G5,24.9921276,121.5406037
G4,24.982899,121.541352
G3,24.975169,121.542942
G2,24.967393,121.54131
G1,24.957855,121.537584
O43,25.091554,121.464471
O44,25.085456,121.473389
O45,25.080728,121.479673
O46,25.076859,121.486347
O47,25.070319,121.496904
O59,25.021862,121.41127
O60,25.0288671,121.4227079
O1,25.032718,121.43547
O2,25.036125,121.452468
O3,25.039705,121.461746
O4,25.046493,121.471916
O5,25.055791,121.484725
O6,25.060274,121.492156
O7,25.063274,121.500762
O8,25.063256,121.51272
O9,25.062905,121.51932
O10,25.062694,121.526419
O11,25.059718,121.533185
O12,25.052015,121.533075
O13,25.042356,121.532905
O14,25.033847,121.528739
O15,25.026357,121.522873
O16,25.013821,121.515485
O17,25.002876,121.511231
O18,24.993905,121.505113
O19,24.990045,121.509237
BL18,25.055288,121.6175001
BL17,25.052116,121.606686
BL16,25.050461,121.593268
BL15,25.045055,121.582522
BL14,25.040859,121.576293
BL13,25.041171,121.565228
BL12,25.041349,121.557802
BL11,25.041478,121.551098
BL10,25.041629,121.543767
BL9,25.042356,121.532905
BL8,25.044823,121.523208
BL7,25.046255,121.517532
BL6,25.04209,121.508303
BL5,25.03528,121.499826
BL4,25.03001,121.47239
BL3,25.023738,121.468361
BL2,25.013618,121.462302
BL1,25.008619,121.459409
BL40,24.998037,121.452514
BL39,24.985339,121.448786
BL38,24.973094,121.444362
BL37,24.966726,121.436072
BL36,24.96012,121.4205
R27,25.136933,121.50253
G1A,24.971907,121.530339
